Name,Chromosome,Region,Identifier,wtN_vs_wtO - Max group means,wtN_vs_wtO - Fold change,wtN_vs_wtO - Log fold change,wtN_vs_wtO - P-value,wtN_vs_wtO - FDR p-value,wtN_vs_wtO - Bonferroni,WT5_N - Total counts,WT5_N - RPKM,WT5_N - TPM,WT5_N - CPM,WT6_N - Total counts,WT6_N - RPKM,WT6_N - TPM,WT6_N - CPM,WT7_N - Total counts,WT7_N - RPKM,WT7_N - TPM,WT7_N - CPM,WT8_N - Total counts,WT8_N - RPKM,WT8_N - TPM,WT8_N - CPM,Wt11N - Total counts,Wt11N - RPKM,Wt11N - TPM,Wt11N - CPM,Wt13N - Total counts,Wt13N - RPKM,Wt13N - TPM,Wt13N - CPM,Wt14N - Total counts,Wt14N - RPKM,Wt14N - TPM,Wt14N - CPM,Wt17N - Total counts,Wt17N - RPKM,Wt17N - TPM,Wt17N - CPM,Wt19N - Total counts,Wt19N - RPKM,Wt19N - TPM,Wt19N - CPM,Wt20N - Total counts,Wt20N - RPKM,Wt20N - TPM,Wt20N - CPM,Wt0O - Total counts,Wt0O - RPKM,Wt0O - TPM,Wt0O - CPM,WT1_O - Total counts,WT1_O - RPKM,WT1_O - TPM,WT1_O - CPM,WT2_O - Total counts,WT2_O - RPKM,WT2_O - TPM,WT2_O - CPM,WT3_O - Total counts,WT3_O - RPKM,WT3_O - TPM,WT3_O - CPM,WT4_O - Total counts,WT4_O - RPKM,WT4_O - TPM,WT4_O - CPM
rimK,NC_000913,891967..892869,945484,54.17333858,-1.044412488,-0.062691613,0.61705559,0.739345987,1,189,46.40365177,25.52129094,45.47420864,236,49.19991899,28.08123932,44.76586715,161,41.808914,24.00656847,38.84402573,182,40.79212623,22.470563,37.95446408,165,45.76403332,24.91247577,47.18061597,180,50.01603293,27.8064288,52.65726315,206,55.95396617,31.4686193,57.08924683,145,45.07601285,25.39668792,46.32321595,212,57.76044247,32.19004179,58.11520563,158,39.00216987,21.11366123,46.44929382,168,46.16220311,29.53242484,43.19535626,230,53.63676894,34.69827275,48.93523554,292,59.50118277,38.74073421,54.27196715,331,56.34151501,36.70992349,50.06250329,295,55.22502306,35.99741984,49.7581455
ybjN,NC_000913,892957..893433,945482,217.957192,1.441873814,0.527944912,0.000383368,0.00171979,1,370,171.9734683,94.5827484,89.02358304,496,195.750749,111.726274,94.08419537,418,205.4890403,117.9912665,100.8497066,518,219.7880551,121.0714369,108.0242439,360,189.0219421,102.8974985,102.9395258,465,244.6014692,135.9862616,136.0312631,471,242.1887323,136.2074137,130.5292974,361,212.4486937,119.697658,115.3288342,495,255.3108202,142.2853707,135.6935226,520,242.9989502,131.5464635,152.8710936,346,179.9793653,115.1424048,88.96186468,375,165.5523734,107.0978271,79.78571012,421,162.4030624,105.7393077,78.24828141,528,170.1389785,110.8558916,79.85801129,456,161.6025107,105.3376369,76.91428593
potF,NC_000913,893784..894896,945480,209.1388814,-1.072822399,-0.101411264,0.516416785,0.656746847,1,1075,214.1368476,117.771955,258.6495994,1076,181.9940719,103.8745428,204.1020045,844,177.8189508,102.1031739,203.6295511,967,175.842567,96.86382749,201.6591581,870,195.7727257,106.5724092,248.7705206,692,156.0038864,86.73040831,202.4379228,711,156.6844301,88.11962795,197.0410413,662,166.9660094,94.07184363,211.4894411,748,165.3441502,92.14671629,205.0479897,864,173.0366151,93.67264653,254.0012016,982,218.9179232,140.0534783,252.487142,1036,196.0140101,126.8038273,220.4213218,1286,212.6063844,138.4262807,239.019691,1530,211.2927249,137.6700602,231.4067373,1362,206.8633643,134.8400953,229.7308277
potG,NC_000913,894991..896124,945476,66.88742296,-1.313954305,-0.393915104,0.000191905,0.000930327,0.860884829,259,50.63663234,27.84936481,62.31650813,299,49.63617062,28.33023336,56.71607745,223,46.11291423,26.47791409,53.80259465,287,51.22259156,28.21624114,59.85127028,222,49.03069159,26.69074003,63.47937422,184,40.71263915,22.63420418,53.82742455,214,46.28626364,26.03148461,59.30630496,198,49.01368754,27.61524916,63.25515006,200,43.39096832,24.18189722,54.82566569,181,35.57828037,19.260153,53.21089988,319,69.79794313,44.65346908,82.01975386,332,61.65205422,39.88345747,70.6369487,425,68.9614482,44.90023577,78.99173301,495,67.09349597,43.71549298,74.86688559,449,66.93217327,43.62851129,75.73358417
potH,NC_000913,896134..897087,945475,29.55671034,-1.208875666,-0.27366587,0.090449587,0.178433091,1,156,36.2538663,19.93906588,37.53426745,110,21.70623225,12.38900216,20.86544655,103,25.3174296,14.5372015,24.85052578,118,25.03377461,13.78998992,24.60783935,67,17.58954183,9.575183891,19.15818952,80,21.0409866,11.69774293,23.40322807,79,20.31094464,11.42291473,21.89344903,73,21.48026958,12.10239479,23.3213432,68,17.53650078,9.773136577,18.64072634,70,16.35569857,8.854088889,20.57880106,93,24.18797828,15.47434053,23.91171507,131,28.91648122,18.70642047,27.87180807,145,27.96727322,18.20926321,26.95012068,193,31.09547618,20.26059383,29.19052307,201,35.61634282,23.21586076,33.90300761
potI,NC_000913,897084..897929,945485,31.96836253,-1.23819878,-0.308242943,0.055986202,0.121565392,1,123,32.23389995,17.72814654,29.59432626,124,27.59252579,15.74865033,23.52104884,98,27.16354665,15.59723706,23.64418958,118,28.22957563,15.55041416,24.60783935,67,19.83501526,10.79754779,19.15818952,80,23.72707,13.19107182,23.40322807,58,16.815471,9.457053567,16.07367144,58,19.24521967,10.84312491,18.52928638,86,25.00981557,13.93803395,23.57503625,55,14.49144722,7.844884228,16.16905797,98,28.74224644,18.38794892,25.19729115,132,32.85686253,21.25550066,28.08456996,152,33.06006648,21.52513931,28.25116098,185,33.61163531,21.90002453,27.9805532,158,31.57100188,20.57897936,26.65012539
ybjO,NC_000913,897989..898477,945488,28.14217884,1.051222776,0.072068438,0.717334654,0.815500065,1,54,24.48290829,13.46522099,12.99263104,93,35.8025718,20.43459843,17.64078663,55,26.37452163,15.14418097,13.26969823,79,32.69722813,18.01144467,16.4747399,39,19.97486474,10.87367738,11.15178196,41,21.03775945,11.6959488,11.99415438,59,29.59337916,16.64337394,16.3508037,45,25.83264625,14.55460706,14.37617047,52,26.16235807,14.58034883,14.25467308,52,23.70357858,12.83183294,15.28710936,58,29.4295845,18.82767575,14.91268252,61,26.26899745,16.99373129,12.97847551,79,29.72683892,19.35490206,14.6831692,100,31.43253576,20.48020865,15.12462335,69,23.85293759,15.5481005,11.6383459
rlmC,NC_000913,898518..899645,947260,28.43032781,-1.253110702,-0.325513871,0.04926674,0.110174772,1,132,25.94435849,14.268996,31.75976476,150,25.03354154,14.28809001,28.45288166,104,21.6199657,12.41412745,25.09179302,120,21.53103226,11.86048538,25.02492137,84,18.65083524,10.15291807,24.01922268,60,13.34647687,7.419977897,17.55242105,99,21.5267021,12.10665909,27.43609435,66,16.42479955,9.254046262,21.08505002,109,23.77386538,13.24923576,29.8799878,85,16.79690473,9.092933992,24.98854414,125,27.49577147,17.59051236,32.13940198,162,30.24324846,19.5647222,34.46742677,168,27.40505511,17.84320759,31.2249674,216,29.43289146,19.17731878,32.66918644,184,27.57467253,17.97404526,31.03558906
artJ,NC_000913,complement(899844..900575),948981,967.07193,1.077551475,0.107756789,0.688592654,0.793074877,1,7559,2289.451087,1259.162696,1818.727741,2690,691.8012365,394.8509771,510.2550112,4556,1459.497634,838.0397036,1099.213548,4211,1164.305276,641.3638483,878.1661991,3363,1150.651705,626.3779796,961.6267365,1055,361.631178,201.048964,308.6300701,2288,766.6485965,431.1646604,634.078625,1004,385.0240641,216.929923,320.7483367,2197,738.4164732,411.5213824,602.2599376,1888,574.9238719,311.232629,555.0396628,2877,975.2001894,623.887604,739.720476,3647,1049.173239,678.7228229,775.9426262,3822,960.74935,625.5360561,710.3680084,4464,937.3491336,610.7399663,675.1631864,3953,912.8877377,595.0491524,666.7591497
artM,NC_000913,complement(900866..901534),949066,151.6727563,1.74024037,0.799286591,6.43633E-06,4.28388E-05,0.028873383,535,177.298789,97.51159244,128.723289,660,185.7196911,106.0009691,125.1926793,495,173.5041401,99.62562097,119.4272841,559,169.1135458,93.15710982,116.5744254,407,152.3689205,82.9447661,116.3788527,278,104.2661087,57.96677501,81.32621753,446,163.5159594,91.9616933,123.6009907,344,144.3436114,81.32595188,109.8978365,377,138.6428998,77.26604139,103.3463798,324,107.9538972,58.4403899,95.25045062,227,84.19081924,53.86136002,58.365154,307,96.63507326,62.51439443,65.31790135,379,104.2422051,67.8712485,70.44203956,432,99.2535174,64.66970278,65.33837287,370,93.49260193,60.94144026,62.40852148
artQ,NC_000913,complement(901534..902250),949046,121.9855243,2.161158882,1.111805139,4.19775E-13,7.38475E-12,1.88311E-09,407,125.8500402,69.21557613,97.92594135,484,127.0768207,72.5300913,91.80796484,410,134.0897133,76.99396074,98.91956864,496,140.0087654,77.12458442,103.4363417,414,144.613649,78.72304438,118.3804546,226,79.08857871,43.96931951,66.11411929,442,151.2009499,85.03570804,122.4924616,288,112.7557179,63.52872839,92.00749099,337,115.6360228,64.44425021,92.38124669,288,89.53498495,48.46938893,84.66706721,189,65.40450221,41.84275046,48.5947758,192,56.39032473,36.47958121,40.85028358,257,65.95450501,42.94243962,47.76676561,314,67.3129726,43.85849535,47.49131732,234,55.16941031,35.96116969,39.46917304
artI,NC_000913,complement(902257..902988),948988,528.2873848,2.208053956,1.142775426,1.19438E-12,1.99925E-11,5.35798E-09,2093,633.9226253,348.6476417,503.5847549,2050,527.2091208,300.9087372,388.8560494,1993,638.4501284,366.5963848,480.8456105,2282,630.9533699,347.5640707,475.8905881,1904,651.4543107,354.630887,544.435714,975,334.2089086,185.8035449,285.2268421,1693,567.2797526,319.0392352,469.1849266,1056,404.9655495,228.1653373,337.3608003,1429,480.2900047,267.6668436,391.7293814,1360,414.1400772,224.1929955,399.8167063,717,243.0373777,155.4839806,184.3516098,934,268.694216,173.8215291,198.7196087,1067,268.2154779,174.6329073,198.3157156,1285,269.8238433,175.8066435,194.3514101,1143,263.9591916,172.0569646,192.7917299
artP,NC_000913,complement(903006..903734),945489,253.8538845,1.950771905,0.9640451,1.34953E-06,1.01068E-05,0.006053992,943,286.7888547,157.7294355,226.8898346,843,217.6908531,124.2487604,159.905195,1055,339.3561252,194.8573947,254.5369388,1202,333.7103255,183.8261347,250.6662957,1070,367.6074875,200.1137566,305.959146,280,96.37291393,53.57855096,81.91129823,844,283.9659871,159.7030229,233.8996327,436,167.889758,94.59230129,139.2891183,741,250.0766141,139.3683343,203.1290914,638,195.0799265,105.6057008,187.5610725,455,154.8634266,99.07439848,116.9874232,466,134.6111117,87.08155172,99.14704245,582,146.9014065,95.64630616,108.1722085,689,145.2713495,94.65311903,104.2086549,566,131.2473499,85.55118126,95.46817069
ybjP,NC_000913,complement(903952..904467),945491,251.377009,1.314394866,0.394398751,0.006553014,0.020701987,1,580,249.2047965,137.0587847,139.5504815,757,276.1762402,157.6297534,143.5922095,834,379.0068943,217.624762,201.2168787,831,325.9447779,179.5484409,173.2975805,498,241.7173032,131.5831675,142.3996773,437,212.4986732,118.1387023,127.8401333,381,181.1034318,101.8529219,105.5873934,487,264.9381514,149.2712226,155.5821115,434,206.9295097,115.3223431,118.9716946,408,176.2503119,95.41236784,119.9450119,435,209.1724828,133.8188,111.8451189,479,195.4827025,126.460118,101.9129471,596,212.5333344,138.3787184,110.7742891,734,218.6425258,142.4589025,111.0147354,641,209.9954902,136.8817143,108.1185467
ybjQ,NC_000913,904593..904916,945493,141.1602658,-1.048155793,-0.067853169,0.63002445,0.749763781,1,238,162.8583581,89.5695787,57.26381828,232,134.7978948,76.93695482,44.00712364,244,176.5938509,101.3997248,58.8692067,253,158.0404349,87.05742694,52.76087589,162,125.2270366,68.16959278,46.32278659,111,85.96119734,47.79015394,32.47197894,137,103.7115113,58.32755548,37.96712047,118,102.235621,57.60150457,37.69751367,132,100.2331368,55.86018259,36.18493936,118,81.18138006,43.94719993,34.68997893,145,111.0421823,71.0396099,37.2817063,231,150.1376079,97.12582942,49.14799744,247,140.2756987,91.33236194,45.9081366,316,149.9099122,97.67542471,47.79380979,296,154.4359276,100.6662309,49.92681718
amiD,NC_000913,904913..905743,945494,57.8425759,-1.038160767,-0.054029873,0.661943719,0.774298408,1,196,52.29174717,28.75965237,47.15843859,255,57.76693052,32.97092829,48.36989883,239,67.44156477,38.72476914,57.6628705,266,64.78482919,35.68707297,55.47190904,170,51.236092,27.89128946,48.61033161,144,43.47964162,24.17252005,42.12581052,145,42.7974984,24.06939626,40.1841786,152,51.34614067,28.92939788,48.55950913,147,43.52098457,24.25435562,40.29686428,123,32.99313017,17.86069277,36.15989329,184,54.93913222,35.14749478,47.30919972,215,54.48286771,35.24562425,45.74380714,283,62.66368197,40.7998116,52.59920104,322,59.55841414,38.80592892,48.70128719,283,57.56878345,37.52515712,47.73408535
ybjS,NC_000913,complement(905740..906753),945495,57.71301559,1.269249255,0.343975413,0.013158161,0.03721785,1,223,48.75790234,26.81609235,53.6547541,350,64.9785812,37.08703443,66.39005722,200,46.25117834,26.55730497,48.25344812,235,46.90537501,25.83807909,49.00713769,213,52.61017515,28.63929637,60.90588608,242,59.88277237,33.2918456,70.7947649,268,64.82585373,36.4581861,74.27144734,222,61.45826017,34.62675944,70.92244097,299,72.54636126,40.43027201,81.96437021,268,58.91369633,31.89268265,78.78740977,225,55.05662168,35.22265906,57.85092357,260,53.99554332,34.93036822,55.31809235,243,44.09596145,28.71052041,45.16468499,306,46.38437925,30.22224399,46.28134745,316,52.68060669,34.33888863,53.30025078
ybjT,NC_000913,complement(906852..908282),945496,38.8994335,1.340380281,0.422642368,0.000311809,0.001430242,1,247,38.26796998,21.04679176,59.42925679,275,36.17705374,20.64833693,52.16361638,238,39.00031226,22.39387674,57.42160326,293,41.44009018,22.82749744,61.10251635,243,42.52993696,23.15193717,69.48417989,202,35.41899411,19.6912006,59.09315087,239,40.96469004,23.03862128,66.23461162,208,40.80270386,22.98902389,66.44985461,237,40.74657534,22.70817028,64.96841385,216,33.64600849,18.21412571,63.50030041,199,34.50471454,22.07450728,51.16592795,208,30.60879437,19.80119825,44.25447388,228,29.31741744,19.08833109,42.37674148,284,30.50471583,19.87567754,42.95393032,297,35.08475562,22.86935537,50.09548886
ltaE,NC_000913,complement(908293..909294),944955,118.2950766,1.386993617,0.471961148,2.89588E-05,0.000164859,0.129909241,548,121.2525671,66.68703701,131.8511446,636,119.4894409,68.1995348,120.6402183,500,117.0127117,67.18839133,120.6336203,641,129.4741335,71.32152555,133.6747883,500,124.9770825,68.03352573,142.9715636,423,105.9246733,58.88885452,123.7445684,509,124.5952445,70.07260762,141.0603235,420,117.6648677,66.29463735,134.177591,496,121.7857166,67.87149022,135.9676509,453,100.7743286,54.55376051,133.1742411,351,86.91693258,55.60540021,90.24744076,439,92.26124722,59.68491361,93.40247132,461,84.65716125,55.11958637,85.68279746,649,99.55549881,64.86646203,98.15880555,622,104.9359512,68.40057787,104.9137848
poxB,NC_000913,complement(909331..911049),946132,122.9859839,1.91173343,0.934881369,2.68536E-06,1.90309E-05,0.012046544,811,104.5979283,57.52724316,195.1300699,1133,124.0778239,70.81839035,214.9140995,1512,206.2560401,118.4316758,364.7960678,1560,183.6713537,101.1763569,325.3239778,909,132.4390649,72.09559027,259.9223025,596,86.9951158,48.36496122,174.3540491,562,80.18845479,45.09814279,155.7483336,873,142.5619441,80.32212643,278.8977071,577,82.58141828,46.02283487,158.1720455,667,86.49069563,46.82137566,196.0865758,499,72.02606109,46.07891505,128.3004927,575,70.43921227,45.567976,122.3380889,626,67.00835464,43.6285925,116.3501762,775,69.29694729,45.15117552,117.215831,733,72.08248299,46.98564635,123.6363412
hcr,NC_000913,complement(911182..912150),947660,2.469826424,-1.082847075,-0.114829512,0.719426267,0.816774035,1,11,2.516790194,1.38419569,2.646647063,10,1.942747496,1.108838358,1.896858778,5,1.209976647,0.694765409,1.206336203,11,2.297532235,1.265608037,2.293951126,10,2.584665358,1.407009139,2.859431271,4,1.035763737,0.575833166,1.170161403,11,2.784327482,1.565911186,3.048454928,4,1.158781242,0.652879519,1.277881819,11,2.792873781,1.556475676,3.015411613,11,2.530395118,1.369818794,3.233811595,6,1.536358153,0.9828903,1.542691295,9,1.955875718,1.265279592,1.914857043,21,3.987732477,2.596380051,3.903120925,12,1.903468729,1.240225638,1.814954802,17,2.965697046,1.933135303,2.867418554
hcp,NC_000913,complement(912162..913814),946592,1.226507627,1.368583666,0.452683634,0.108202319,0.204502647,1,7,0.938865308,0.516361402,1.684229949,16,1.822163169,1.040013908,3.034974044,10,1.41859331,0.814552548,2.412672406,12,1.469268263,0.809354356,2.502492137,7,1.060604061,0.577358923,2.00160189,6,0.910757768,0.50633606,1.755242105,9,1.335429795,0.751048312,2.494190396,7,1.188749723,0.669764334,2.236293184,7,1.041855737,0.580628857,1.918898299,8,1.078789141,0.583997981,2.351862978,6,0.900623745,0.576177073,1.542691295,4,0.509576815,0.329651388,0.851047575,10,1.113160133,0.724769472,1.858629012,12,1.115826496,0.727028822,1.814954802,12,1.227184984,0.799918056,2.024060156
lysO,NC_000913,complement(913958..914857),947142,42.4947308,-1.086673982,-0.119919176,0.393628856,0.54182849,1,117,28.82182371,15.85155737,28.15070058,209,43.71635174,24.95145035,39.64434845,112,29.18141012,16.75588895,27.02193095,132,29.68411647,16.35165584,27.52741351,112,31.167618,16.9666542,32.02563024,119,33.17637562,18.44441617,34.81230175,150,40.87898985,22.99042333,41.56983993,104,32.43814957,18.27627399,33.2249273,148,40.45773886,22.54720097,40.57099261,174,43.09492921,23.32925935,51.15301977,130,35.83982158,22.92864651,33.42497806,185,43.28642722,28.00251186,39.36095033,228,46.61469374,30.35044643,42.37674148,245,41.84194385,27.26257108,37.05532721,239,44.89076761,29.2612247,40.31253144
aqpZ,NC_000913,complement(915352..916047),945497,11.19255341,-1.471131839,-0.556926543,0.006604558,0.020835477,1,32,10.19339477,5.606209504,7.699336912,27,7.302888325,4.168180742,5.1215187,32,10.78130916,6.190599366,7.720551699,27,7.851402281,4.324987341,5.630607309,15,5.397717096,2.938344516,4.289146907,14,5.047115967,2.805945665,4.095564912,11,3.876455934,2.18012635,3.048454928,14,5.646561182,3.181380585,4.472586368,22,7.77670889,4.333979684,6.030823226,14,4.483717368,2.427241609,4.115760212,29,10.33841007,6.614032646,7.45634126,39,11.79988813,7.633489952,8.297713853,45,11.89689892,7.745973737,8.363830554,52,11.48371436,7.482338296,7.864804142,43,10.44385554,6.807635958,7.252882226
ybjD,NC_000913,916473..918131,945498,34.29011888,-1.0729587,-0.101594546,0.425569475,0.572784172,1,215,28.73228589,15.80231296,51.72991988,256,29.04916907,16.5800409,48.55958471,178,25.15963737,14.44659762,42.94556882,184,22.44730162,12.36521731,38.3715461,202,30.49531211,16.60067238,57.76051168,213,32.21496805,17.90992133,62.31109473,221,32.67362299,18.37570906,61.24623082,178,30.11888279,16.96955472,56.86574096,189,28.02836852,15.62028121,51.81025408,221,29.69376865,16.07459723,64.97021477,221,33.05300001,21.14576803,56.8224627,269,34.14510217,22.08887842,57.23294939,348,38.59787147,25.13075892,64.68028962,360,33.35372872,21.7319827,54.44864406,317,32.30089205,21.0547449,53.46892245
ybjX,NC_000913,complement(918128..919120),946025,299.4866906,1.227653249,0.295903128,0.088924893,0.17635591,1,1059,236.4421048,130.0395016,254.7999309,1643,311.4787692,177.7789485,311.6538972,855,201.9052572,115.9334677,206.2834907,1105,225.2193676,124.0633048,230.4378176,1116,281.4770853,153.2271209,319.1125299,1562,394.6901322,219.4280996,456.948028,1517,374.7034901,210.7339709,420.4096478,989,279.5839815,157.5229634,315.9562798,1475,365.4476493,203.6649063,404.3392845,1443,323.9190689,175.3522307,424.2172847,942,235.3784239,150.584139,242.2025333,1359,288.1991733,186.4395213,289.1434135,1578,292.4073252,190.3840216,293.2916581,1887,292.0861263,190.3118748,285.4016426,1490,253.6522156,165.3385511,251.3208027
macA,NC_000913,919235..920350,947322,49.79279598,1.066771174,0.093250747,0.474055099,0.616766582,1,210,41.71893423,22.94476874,50.52689848,238,40.14698146,22.91420429,45.14523891,223,46.85667091,26.90497722,53.80259465,328,59.48429988,32.76724778,68.40145175,247,55.43203951,30.17542906,70.6279524,186,41.81896087,23.24926408,54.41250525,194,42.63722597,23.97925874,53.76365964,225,56.59571692,31.88710955,71.88085234,220,48.49990491,27.02912061,60.30823226,235,46.93784003,25.40960302,69.08597498,247,54.91585565,35.13260352,63.50745831,279,52.64565473,34.05710902,59.36056833,265,43.69303141,28.44817595,49.25366882,352,48.4804616,31.58796912,53.23867419,325,49.2289765,32.08900671,54.81829589
macB,NC_000913,920347..922293,945164,24.52673198,-1.044166992,-0.062352458,0.58997666,0.71938986,1,174,19.81350925,10.89712371,41.86514446,234,22.6250757,12.91343926,44.3864954,187,22.52197209,12.93205715,45.11697399,215,22.3493663,12.31126911,44.83631746,174,22.38264445,12.18439563,49.75410412,162,20.87726244,11.60672043,47.39153683,147,18.51837137,10.41476804,40.73844313,173,24.94281087,14.05325679,55.26838869,174,21.98698589,12.25340327,47.69832915,153,17.51640234,9.48243101,44.97937946,211,26.88942404,17.20259955,54.25131054,201,21.73965403,14.0636444,42.76514063,250,23.62678095,15.38320413,46.4657253,317,25.02543228,16.30559108,47.94505602,292,25.35236858,16.52547713,49.25213046
cspD,NC_000913,complement(922366..922590),945669,3507.56458,2.15564228,1.108117789,9.33698E-14,1.72369E-12,4.18857E-10,3696,3641.896083,2002.986532,889.2734133,4500,3765.044648,2148.928738,853.5864499,3089,3219.334852,1848.533606,745.2745062,3742,3365.998904,1854.178672,780.3604648,3670,4085.184217,2223.843604,1049.411277,3041,3391.238933,1885.360322,889.6152069,3653,3982.158665,2239.573771,1012.364168,2937,3664.26328,2064.516027,938.2847258,2936,3210.376251,1789.150866,804.8407724,2776,2750.149965,1488.78216,816.0964534,1744,1923.219964,1230.386446,448.4089364,1854,1735.20078,1122.522313,394.4605508,2169,1773.811767,1154.914356,403.1366327,2499,1707.151309,1112.3129,377.9643375,2447,1838.45537,1198.363462,412.7396001
clpS,NC_000913,922913..923233,948443,362.1855356,1.003270107,0.00471007,0.968510458,0.979647782,1,425,293.5364264,161.4404957,102.2568184,642,376.5044648,214.8928738,121.7783335,437,319.2325489,183.3024901,105.4337841,661,416.7629777,229.5761366,137.8456086,410,319.8946107,174.1403928,117.2366821,423,330.6433728,183.8212842,123.7445684,427,326.2678255,183.4936591,118.3354777,428,374.2863412,210.8800845,136.7333547,390,298.9110537,166.583892,106.9100481,362,251.3755136,136.081081,106.4217998,374,289.0889994,184.9456605,96.16109073,531,348.3469491,225.3498428,112.9765655,668,382.9146018,249.3125703,124.156418,846,405.0919454,263.9420385,127.9543135,732,385.4851823,251.271456,123.4676695
clpA,NC_000913,923264..925540,945764,561.015369,-1.049827059,-0.070151689,0.671430606,0.7821443,1,4124,401.5445457,220.8432911,992.2520445,5858,484.3133849,276.4256598,1111.179872,4111,423.3652491,243.0952127,991.8496261,5199,462.1143896,254.5582067,1084.204718,4739,521.2568525,283.7555557,1355.084479,5051,556.5943909,309.4388218,1477.621312,4334,466.8499131,262.5572983,1201.091242,4542,559.9501192,315.4866087,1451.034806,4303,464.933368,259.1085509,1179.574197,4851,474.8841525,257.0765461,1426.110913,5688,619.8142449,396.5282497,1462.471348,5523,510.7807661,330.4302382,1175.083939,6661,538.2783354,350.4686285,1238.032785,8139,549.4096652,357.9738098,1230.993095,7904,586.7938334,382.4908132,1333.180956
serW,NC_000913,complement(925884..925971),945501,130.0922479,-1.620587989,-0.696517353,0.26846273,0.407830615,1,77,193.9930442,106.6931746,18.52652944,108,231.0368307,131.8660817,20.4860748,45,119.9114357,68.85283102,10.85702583,53,121.8950031,67.14652063,11.05267361,2,5.692138028,3.098617854,0.571886254,3,8.553878359,4.755531289,0.877621052,1,2.787203853,1.567528863,0.277132266,1,3.189940408,1.797273448,0.319470455,14,39.14062574,21.81317047,3.837796598,12,30.39610995,16.45480675,3.527794467,1,2.819566383,1.803827085,0.257115216,75,179.473823,116.1037807,15.95714202,89,186.0963401,121.1658074,16.54179821,123,214.83781,139.9798988,18.60328672,35,67.23370007,43.82505601,5.903508788
infA,NC_000913,complement(926225..926443),945500,2482.628354,-1.452370207,-0.538409241,0.002233789,0.008173555,1,1174,1188.507939,653.660989,282.469423,1901,1634.098145,932.6743222,360.5928536,1433,1534.379673,881.0367735,345.7359558,1717,1586.78792,874.0906937,358.0649166,993,1135.620524,618.1954852,283.9415252,1332,1526.10564,848.4388973,389.6637473,1883,2108.907887,1186.053894,521.8400572,1140,1461.254894,823.2989601,364.1963185,1845,2072.691453,1155.116229,505.766766,1215,1236.663651,669.4626857,357.1891898,1958,2218.367882,1419.20832,503.4315926,2650,2548.145846,1648.426281,563.8190182,3043,2556.750415,1664.679317,565.5808084,3912,2745.636304,1788.949031,591.6752655,3037,2344.241324,1528.050772,512.2558912
aat,NC_000913,complement(926728..927432),945490,47.81997538,1.165605882,0.221080063,0.071966873,0.14850202,1,149,46.85708382,25.77067156,35.8500375,201,53.67191306,30.63366499,38.12686143,141,46.89869483,26.92910724,34.01868092,152,43.63622538,24.03725037,31.69823374,134,47.60403661,25.9141147,38.31637903,135,48.04731674,26.71192043,39.49294736,134,46.61944374,26.21886575,37.13572367,109,43.4012885,24.45311618,34.82227958,163,56.88278983,31.70092374,44.68291754,141,44.58096125,24.13371657,41.45158499,144,50.68020597,32.42283238,37.02459108,151,45.10351129,29.17800546,32.12704594,167,43.58708765,28.37919683,31.0391045,233,50.79899045,33.09863167,35.24037241,154,36.92608322,24.06959105,25.97543867
cydC,NC_000913,complement(927474..929195),945504,67.48746717,1.189891702,0.250830272,0.047567621,0.107598175,1,583,75.06085599,41.28231014,140.2722944,613,67.01429643,38.24893486,116.2774431,571,77.75596617,44.6472713,137.7635944,586,68.87429622,37.93977797,122.2050327,444,64.57700843,35.1536576,126.9587484,446,64.98695661,36.12951839,130.4729965,417,59.39560546,33.40420393,115.564155,371,60.47919538,34.07513561,118.5235387,504,72.00784108,40.13015335,138.1606775,500,64.72264991,35.03733532,146.9914361,432,62.24659444,39.82246834,111.0737732,520,63.59057018,41.13750683,110.6361847,638,68.17388273,44.38745833,118.580531,692,61.76767079,40.24539398,104.6623936,586,57.52625593,37.49743634,98.84160429
cydD,NC_000913,complement(929196..930962),949052,37.50471457,1.345511153,0.428154349,0.000104871,0.000549595,0.470452989,341,42.7854333,23.53132673,82.04605897,370,39.41897339,22.49868798,70.18377477,291,38.61777079,22.17422243,70.20876701,326,37.33995204,20.5689142,67.98436973,276,39.12016084,21.29576413,78.92030308,220,31.23997077,17.3678713,64.35887718,276,38.31103972,21.54620319,76.48850546,232,36.85671951,20.76578082,74.11714552,257,35.78318343,19.94205932,70.45098041,282,35.57394192,19.25780439,82.90316998,178,24.99472995,15.99046263,45.76650842,312,37.18266956,24.0539174,66.38171082,281,29.26174815,19.05208526,52.22747524,371,32.27198192,21.02715887,56.11235263,312,29.84830575,19.45607143,52.62556406
trxB,NC_000913,complement(931085..932050),949054,1228.868935,-1.432088687,-0.51812084,0.00497418,0.016455879,1,3098,711.0209416,391.0505235,745.3920548,4508,878.5104178,501.4167055,855.103937,2202,534.5286026,306.924918,531.2704638,3083,645.9354255,355.817017,642.9319382,2625,680.5817207,370.4869173,750.6007087,3696,960.0178843,533.7222362,1081.229137,3210,815.0407293,458.3804899,889.5945744,2654,771.2390913,434.5308574,847.8745871,3416,870.0077804,484.8575532,936.42237,3645,841.0849057,455.3177893,1071.567569,4519,1160.727332,742.5792181,1161.90366,5972,1301.862733,842.1907041,1270.614029,6468,1232.035956,802.1685497,1202.161245,7727,1229.481684,801.0820891,1168.679646,6973,1220.23697,795.3891207,1176.147622
